qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns
10,iroute,Search for parking devices in Old Town Core Civic Center,6,p_000003;p_000051;p_000087;p_000159;p_000231;p_000351;p_000357;p_000441;p_000501;p_000531;p_000585,/domain6,/domain6/data/doc/p_000584,/domain0=2.09817(0.605568);/domain6=1.77237(0.511489);/domain2=1.69116(0.557288);/domain7=1.67872(0.481826);/domain5=1.47262(0.430237),0,1,0.762917,22200.0000,22207.6136,22208.1884,22215.8031,15.8031,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,7.6136,7.6147,22200000000,22207613616,22208188400,22215803104
11,iroute,Query pollution records from Lakeside District Downtown,5,pol_000135;pol_000213;pol_000225;pol_000231;pol_000243;pol_000249;pol_000291;pol_000297;pol_000315;pol_000339;pol_000393;pol_000441;pol_000453;pol_000531;pol_000537,/domain5,/domain5/data/doc/pol_000302,/domain5=1.90457(0.524446);/domain1=1.6242(0.462273);/domain7=1.55912(0.455376);/domain2=1.21125(0.433091);/domain6=1.18528(0.405224),0,1,0.752024,22400.0000,22408.1687,22408.1687,22416.3435,16.3435,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,8.1687,8.1748,22400000000,22408168720,22408168720,22416343488
12,iroute,Locate every pollution unit across Greenfield Park,7,pol_000093;pol_000125;pol_000133;pol_000149;pol_000153;pol_000169;pol_000229;pol_000253;pol_000273;pol_000285;pol_000309;pol_000313;pol_000345;pol_000369;pol_000405;pol_000473;pol_000509;pol_000513;pol_000589,/domain7,/domain7/data/doc/pol_000316,/domain7=3.00454(0.782729);/domain1=2.69119(0.694473);/domain6=2.21669(0.653226);/domain4=1.97153(0.611303);/domain3=1.95216(0.633436),0,1,0.749765,22600.0000,22606.6567,22607.6186,22614.2813,14.2813,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,6.6567,6.6628,22600000000,22606656720,22607618576,22614281344
13,iroute,Give me streetlight information near North Harbor Cultural Center,0,sl_000113;sl_000121;sl_000129;sl_000137;sl_000181;sl_000185;sl_000229;sl_000261;sl_000281;sl_000289;sl_000301;sl_000425;sl_000465;sl_000517;sl_000553;sl_000565;sl_000569;sl_000581,/domain0,/domain0/data/doc/sl_000499,/domain0=2.64182(0.725471);/domain1=2.28766(0.608);/domain6=1.95257(0.552052);/domain4=1.89992(0.610382);/domain5=1.66488(0.471126),0,1,0.761225,22800.0000,22807.7447,22808.1884,22815.9392,15.9392,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,7.7447,7.7507,22800000000,22807744704,22808188416,22815939152
14,iroute,What streetlight readings are reported in Midtown Center?,4,sl_000014;sl_000022;sl_000058;sl_000066;sl_000086;sl_000146;sl_000226;sl_000250;sl_000298;sl_000306;sl_000378;sl_000402;sl_000598,/domain4,/domain4/data/doc/sl_000351,/domain4=2.14573(0.672901);/domain1=1.96955(0.538619);/domain6=1.90698(0.541788);/domain0=1.73848(0.516882);/domain3=1.50799(0.510702),0,1,0.693403,23000.0000,23006.3387,23007.7595,23014.1042,14.1042,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,6.3387,6.3447,23000000000,23006338704,23007759488,23014104224
15,iroute,Find all pollution sensors in Lakeside District,5,pol_000138;pol_000150;pol_000168;pol_000180;pol_000204;pol_000234;pol_000240;pol_000246;pol_000264;pol_000306;pol_000336;pol_000384;pol_000438;pol_000492;pol_000510;pol_000558;pol_000576,/domain5,/domain5/data/doc/pol_000353,/domain1=2.20379(0.588404);/domain7=1.91444(0.539257);/domain3=1.72594(0.574999);/domain6=1.65196(0.517437);/domain5=1.47695(0.430228),0,1,0.843393,23200.0000,23208.1884,23208.1884,23216.3632,16.3632,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,8.1884,8.1748,23200000000,23208188432,23208188432,23216363200
16,iroute,What parking readings are reported in Westside Heights?,1,p_000244;p_000272;p_000376,/domain1,/domain1/data/doc/p_000440,/domain1=2.37178(0.624963);/domain7=1.99537(0.551854);/domain0=1.84369(0.546256);/domain2=1.74342(0.570581);/domain5=1.4782(0.431454),0,1,0.751275,23400.0000,23407.2307,23408.1884,23415.4251,15.4251,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,7.2307,7.2367,23400000000,23407230688,23408188400,23415425104
17,iroute,Query traffic records from South Hills Commercial Strip,3,traf_000022;traf_000109;traf_000130;traf_000190;traf_000295;traf_000319;traf_000346;traf_000361;traf_000373;traf_000400;traf_000433;traf_000469;traf_000493;traf_000514;traf_000532;traf_000544;traf_000580;traf_000586;traf_000592,/domain1,/domain1/data/doc/traf_000121,/domain7=1.56025(0.455628);/domain2=1.35382(0.469173);/domain3=1.05232(0.400991);/domain1=1.02424(0.331708);/domain4=0.766686(0.3133),0,0,0.637505,23600.0000,23607.2455,23608.0957,23615.3325,15.3325,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,7.2455,7.2368,23600000000,23607245520,23608095664,23615332464
18,iroute,What streetlight readings are reported in Lakeside District?,5,sl_000582,/domain5,/domain5/data/doc/sl_000279,/domain5=2.9084(0.741742);/domain1=1.97751(0.540354);/domain0=1.69977(0.507944);/domain3=1.52181(0.514216);/domain6=1.42035(0.432253),0,1,0.711237,23800.0000,23808.1687,23808.1687,23816.3434,16.3434,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,8.1687,8.1747,23800000000,23808168704,23808168704,23816343440
19,iroute,Locate every pollution unit across Greenfield Park,7,pol_000059;pol_000125;pol_000149;pol_000239;pol_000431;pol_000473;pol_000509,/domain7,/domain7/data/doc/pol_000316,/domain7=3.00454(0.782729);/domain1=2.69119(0.694473);/domain6=2.21669(0.653226);/domain4=1.97153(0.611303);/domain3=1.95216(0.633436),0,1,0.749765,24000.0000,24006.6567,24007.6186,24007.6186,7.6186,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,6.6567,0.0000,24000000000,24006656720,24007618576,24007618576
20,iroute,Find all parking sensors in Westside Heights,1,p_000302;p_000538,/domain1,/domain1/data/doc/traf_000135,/domain1=2.57234(0.668609);/domain7=2.24824(0.607777);/domain2=1.84638(0.596765);/domain0=1.73134(0.52007);/domain4=1.50503(0.49592),0,1,0.739079,24200.0000,24207.2307,24208.1005,24215.3373,15.3373,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,7.2307,7.2368,24200000000,24207230736,24208100544,24215337344
21,iroute,Search for streetlight devices in North Harbor Commercial Strip,0,sl_000010;sl_000098;sl_000126;sl_000182;sl_000246;sl_000278;sl_000322;sl_000362;sl_000386;sl_000418;sl_000426;sl_000434;sl_000482;sl_000534;sl_000558;sl_000594,/domain0,/domain0/data/doc/sl_000056,/domain0=2.38174(0.665416);/domain1=1.94357(0.532954);/domain6=1.84379(0.527566);/domain5=1.46739(0.428148);/domain4=1.45077(0.496147),0,1,0.741117,24400.0000,24407.7447,24408.1835,24408.1835,8.1835,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,7.7447,0.0000,24400000000,24407744704,24408183488,24408183488
22,iroute,Give me pollution information near Eastshore Quarter City Hall,2,pol_000028;pol_000100;pol_000118;pol_000154;pol_000199;pol_000235;pol_000280;pol_000325;pol_000361;pol_000367;pol_000370;pol_000397;pol_000412;pol_000415;pol_000433;pol_000436;pol_000451;pol_000457,/domain2,/domain2/data/doc/pol_000446,/domain1=2.64751(0.684968);/domain2=2.18748(0.680161);/domain7=2.17169(0.596714);/domain3=2.01916(0.650744);/domain6=1.94962(0.58901),0,1,0.772211,24600.0000,24608.0956,24608.0956,24616.1924,16.1924,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,8.0956,8.0968,24600000000,24608095648,24608095648,24616192416
23,iroute,Query parking records from Westside Heights Waterfront,1,p_000136;p_000328;p_000516,/domain1,/domain1/data/doc/p_000101,/domain5=2.11322(0.569954);/domain2=1.97033(0.628292);/domain7=1.89367(0.529364);/domain0=1.80935(0.538253);/domain1=1.57223(0.451962),0,1,0.728679,24800.0000,24807.2504,24808.1687,24815.4054,15.4054,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,7.2504,7.2367,24800000000,24807250400,24808168688,24815405392
24,iroute,Give me parking information near South Hills Main Station,3,p_000078;p_000150;p_000168;p_000252;p_000270;p_000312;p_000348;p_000360;p_000390;p_000468;p_000570;p_000588,/domain1,/domain1/data/doc/p_000392,/domain0=2.19572(0.628306);/domain2=2.03645(0.645106);/domain7=1.87489(0.52521);/domain5=1.74561(0.489776);/domain1=1.57342(0.451222),0,0,0.666814,25000.0000,25007.2504,25008.1835,25015.4202,15.4202,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,7.2504,7.2367,25000000000,25007250400,25008183472,25015420176
25,iroute,Locate every parking unit across Greenfield Park,7,p_000041;p_000137;p_000167;p_000173;p_000179;p_000197;p_000227;p_000323;p_000365;p_000371;p_000401;p_000479;p_000539;p_000545;p_000563,/domain7,/domain7/data/doc/p_000547,/domain7=2.93012(0.758576);/domain0=2.20814(0.6312);/domain2=2.02128(0.641248);/domain5=1.96404(0.537416);/domain1=1.71196(0.481371),0,1,0.783490,25200.0000,25206.6567,25208.1835,25214.8462,14.8462,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,6.6567,6.6627,25200000000,25206656688,25208183472,25214846176
26,iroute,Find all parking sensors in Old Town Core,6,p_000005;p_000029;p_000053;p_000149;p_000217;p_000269;p_000281;p_000301;p_000357;p_000361;p_000409;p_000413;p_000441;p_000445;p_000481;p_000501;p_000509;p_000557;p_000585,/domain6,/domain6/data/doc/pol_000582,/domain6=2.31477(0.676808);/domain7=1.97495(0.547338);/domain1=1.56411(0.449197);/domain0=1.51573(0.469817);/domain2=1.38608(0.479695),0,1,0.698945,25400.0000,25407.6087,25408.1104,25415.7252,15.7252,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,7.6087,7.6148,25400000000,25407608720,25408110448,25415725216
27,iroute,Show pollution status for the South Hills Transit Hub zone,3,pol_000074;pol_000139;pol_000159;pol_000164;pol_000269;pol_000404;pol_000419;pol_000439;pol_000479;pol_000484;pol_000529,/domain1,/domain1/data/doc/pol_000142,/domain3=2.21539(0.701434);/domain1=2.18826(0.585025);/domain6=1.83079(0.560437);/domain7=1.81197(0.516371);/domain4=1.66638(0.535829),0,0,0.769664,25600.0000,25607.2356,25607.6186,25607.6186,7.6186,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,7.2356,0.0000,25600000000,25607235648,25607618576,25607618576
28,iroute,Search for pollution devices in Old Town Core Commercial Strip,6,pol_000032;pol_000248;pol_000254;pol_000368;pol_000416;pol_000464;pol_000554;pol_000578,/domain6,/domain6/data/doc/pol_000346,/domain6=2.35212(0.685789);/domain1=2.13094(0.572551);/domain7=1.98211(0.554372);/domain3=1.70714(0.570144);/domain4=1.6613(0.534571),0,1,0.712492,25800.0000,25807.6087,25807.6087,25815.2235,15.2235,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,7.6087,7.6148,25800000000,25807608720,25807608720,25815223488
29,iroute,Give me pollution information near Old Town Core Cultural Center,6,pol_000034;pol_000094;pol_000232;pol_000244;pol_000292;pol_000310;pol_000328;pol_000346;pol_000358;pol_000382;pol_000388;pol_000514,/domain6,/domain6/data/doc/pol_000055,/domain6=2.35911(0.687469);/domain1=2.17786(0.582761);/domain7=1.87534(0.530525);/domain3=1.81468(0.597923);/domain4=1.7701(0.561482),0,1,0.817257,26000.0000,26007.6087,26007.6087,26015.2235,15.2235,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,7.6087,7.6148,26000000000,26007608720,26007608720,26015223488
30,iroute,Find all traffic sensors in Lakeside District,5,traf_000376;traf_000409;traf_000424;traf_000511,/domain5,/domain5/data/doc/traf_000390,/domain7=1.96566(0.545285);/domain5=1.83724(0.509762);/domain2=1.77734(0.576361);/domain1=1.55901(0.448086);/domain6=1.28017(0.42804),0,1,0.805523,26200.0000,26208.1737,26208.1737,26216.3485,16.3485,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,8.1737,8.1748,26200000000,26208173664,26208173664,26216348464
31,iroute,Query pollution records from North Harbor Civic Center,0,pol_000126;pol_000290,/domain6,/domain6/data/doc/pol_000047,/domain1=2.13953(0.57442);/domain6=2.04489(0.611916);/domain7=2.00245(0.558914);/domain4=1.86247(0.584329);/domain3=1.70265(0.568984),0,0,0.661709,26400.0000,26407.6136,26407.6136,26415.2284,15.2284,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,7.6136,7.6148,26400000000,26407613648,26407613648,26415228416
32,iroute,Search for pollution devices in Midtown Center Waterfront,4,pol_000120,/domain4,/domain4/data/doc/pol_000383,/domain4=2.36707(0.709135);/domain1=2.2943(0.608102);/domain7=2.05025(0.569592);/domain6=1.94508(0.587919);/domain3=1.6887(0.56538),0,1,0.806061,26600.0000,26606.3387,26607.6235,26613.9683,13.9683,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,6.3387,6.3448,26600000000,26606338720,26607623504,26613968272
33,iroute,List traffic data around Midtown Center Lighthouse,4,traf_000044;traf_000049;traf_000054;traf_000079;traf_000129;traf_000239;traf_000289;traf_000369;traf_000389,/domain4,/domain4/data/doc/traf_000012,/domain4=1.62341(0.525199);/domain7=1.43619(0.428192);/domain6=1.34051(0.442548);/domain1=1.12(0.352548);/domain2=1.02343(0.385557),0,1,0.718456,26800.0000,26806.3387,26808.1104,26814.4552,14.4552,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,6.3387,6.3448,26800000000,26806338736,26808110448,26814455248
34,iroute,What parking readings are reported in Lakeside District?,5,p_000076;p_000080;p_000084;p_000128;p_000164;p_000240;p_000248;p_000256;p_000260;p_000268;p_000300;p_000308;p_000332;p_000340;p_000444;p_000448;p_000460;p_000476;p_000552;p_000580,/domain5,/domain5/data/doc/p_000164,/domain5=2.85659(0.732087);/domain0=1.74372(0.522957);/domain7=1.39034(0.418052);/domain2=1.36805(0.475111);/domain1=1.12495(0.353625),1,1,0.774216,27000.0000,27008.1687,27008.1687,27016.3434,16.3434,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,8.1687,8.1747,27000000000,27008168688,27008168688,27016343392
35,iroute,List parking data around Eastshore Quarter Main Station,2,p_000022;p_000046;p_000052;p_000088;p_000226;p_000238;p_000280;p_000472,/domain2,/domain2/data/doc/p_000541,/domain2=2.74026(0.824111);/domain0=2.27189(0.646059);/domain7=2.03393(0.560383);/domain5=1.99459(0.544079);/domain1=1.84573(0.510482),0,1,0.774933,27200.0000,27208.0907,27208.1835,27216.2802,16.2802,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,8.0907,8.0967,27200000000,27208090688,27208183472,27216280176
36,iroute,Find all traffic sensors in Old Town Core,6,traf_000020;traf_000045;traf_000075;traf_000095;traf_000160;traf_000165;traf_000215;traf_000330;traf_000340;traf_000355;traf_000375;traf_000380;traf_000410;traf_000420;traf_000430;traf_000475;traf_000490,/domain6,/domain6/data/doc/traf_000475,/domain6=2.41547(0.701024);/domain7=2.13457(0.582638);/domain2=1.70749(0.558682);/domain1=1.5753(0.451632);/domain4=1.55507(0.508298),1,1,0.800216,27400.0000,27407.6087,27408.1006,27415.7154,15.7154,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,7.6087,7.6148,27400000000,27407608736,27408100592,27415715392
37,iroute,Query streetlight records from Greenfield Park Industrial Zone,7,sl_000153;sl_000161,/domain7,/domain7/data/doc/sl_000023,/domain1=1.74661(0.489995);/domain7=1.60714(0.465996);/domain6=1.5431(0.459883);/domain4=1.33166(0.465854);/domain0=1.28495(0.412158),0,1,0.687779,27600.0000,27606.6616,27607.7644,27614.4272,14.4272,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,6.6616,6.6627,27600000000,27606661632,27607764416,27614427152
38,iroute,List parking data around North Harbor Clock Tower,0,p_000004;p_000034;p_000148;p_000196;p_000208;p_000220;p_000370;p_000592,/domain0,/domain0/data/doc/p_000204,/domain0=2.39988(0.675891);/domain2=1.7553(0.573602);/domain5=1.50264(0.436785);/domain7=1.49642(0.44151);/domain6=1.34507(0.443645),0,1,0.712485,27800.0000,27807.7447,27808.1785,27815.9292,15.9292,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,7.7447,7.7507,27800000000,27807744688,27808178544,27815929248
39,iroute,Query parking records from Eastshore Quarter Waterfront,2,p_000022;p_000046;p_000052;p_000088;p_000226;p_000238;p_000280;p_000472,/domain2,/domain2/data/doc/p_000181,/domain2=2.51118(0.765849);/domain5=2.25805(0.601542);/domain0=2.10405(0.606939);/domain7=1.94473(0.540655);/domain1=1.35659(0.404035),0,1,0.776563,28000.0000,28008.0907,28008.1736,28016.2703,16.2703,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,8.0907,8.0967,28000000000,28008090688,28008173616,28016270320
40,iroute,Give me traffic information near Lakeside District City Hall,5,traf_000334;traf_000448;traf_000478,/domain5,/domain5/data/doc/traf_000432,/domain5=2.41481(0.635732);/domain7=1.87686(0.525645);/domain2=1.53179(0.514215);/domain0=1.19307(0.394612);/domain1=0.940272(0.313435),0,1,0.804248,28200.0000,28208.1687,28208.1687,28216.3435,16.3435,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,8.1687,8.1748,28200000000,28208168736,28208168736,28216343536
41,iroute,Find all traffic sensors in South Hills,3,traf_000026;traf_000116;traf_000134;traf_000206;traf_000290;traf_000350;traf_000428;traf_000434;traf_000440;traf_000458,/domain3,/domain3/data/doc/traf_000387,/domain1=2.20525(0.588723);/domain7=2.2002(0.597152);/domain3=2.07463(0.665074);/domain2=1.96899(0.624863);/domain6=1.82363(0.558715),0,1,0.727949,28400.0000,28406.5286,28408.1055,28414.6303,14.6303,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,6.5286,6.5248,28400000000,28406528592,28408105520,28414630320
42,iroute,List streetlight data around Eastshore Quarter Riverside Park,2,sl_000007;sl_000031;sl_000039;sl_000055;sl_000111;sl_000159;sl_000239;sl_000431;sl_000511,/domain2,/domain2/data/doc/sl_000408,/domain1=2.30165(0.611052);/domain6=1.92906(0.54676);/domain2=1.81836(0.58964);/domain5=1.79926(0.500369);/domain0=1.7382(0.516818),0,1,0.735862,28600.0000,28608.1006,28608.1835,28616.2802,16.2802,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,8.1006,8.0967,28600000000,28608100560,28608183488,28616280224
43,iroute,What pollution readings are reported in South Hills?,3,pol_000046;pol_000052;pol_000058;pol_000070;pol_000238;pol_000340;pol_000484;pol_000598,/domain3,/domain3/data/doc/pol_000338,/domain3=2.43015(0.756909);/domain1=2.29247(0.607703);/domain6=1.65637(0.518497);/domain4=1.62079(0.524552);/domain7=1.61015(0.471297),0,1,0.726850,28800.0000,28806.5187,28807.6186,28814.1433,14.1433,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,6.5187,6.5248,28800000000,28806518720,28807618576,28814143344
44,iroute,Search for traffic devices in North Harbor Waterfront,0,traf_000259,/domain0,/domain0/data/doc/traf_000392,/domain0=2.09571(0.604995);/domain7=1.77954(0.504124);/domain2=1.53382(0.51473);/domain6=1.29139(0.430737);/domain4=1.16532(0.411896),0,1,0.746014,29000.0000,29007.7447,29008.1006,29015.8514,15.8514,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,7.7447,7.7508,29000000000,29007744736,29008100592,29015851392
45,iroute,Give me parking information near Old Town Core Botanical Garden,6,p_000032;p_000074;p_000140;p_000278;p_000290;p_000296;p_000356;p_000416;p_000428;p_000488;p_000512;p_000524;p_000584,/domain6,/domain6/data/doc/p_000048,/domain6=2.13699(0.593562);/domain0=2.02165(0.587734);/domain2=1.8163(0.589116);/domain5=1.64843(0.468581);/domain7=1.5163(0.445907),0,1,0.858112,29200.0000,29207.6087,29208.1835,29215.7982,15.7982,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,7.6087,7.6147,29200000000,29207608688,29208183472,29215798176
