entity_type,entity_id,doc_id,domain_id,lat,lon,canonical_name,streetName,landmarkToken,areaServed,lanternModel,locationCategory,powerState,status
streetlight,streetlight_000019,sl_000020,2,56.161713,10.213358,/d2/streetlight/sl_000020,"King Blvd, Eastshore Quarter",Eastshore Quarter Shopping Mall,Eastshore Quarter Residential Block,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000020,sl_000021,2,56.17779,10.159996,/d2/streetlight/sl_000021,"Garden St, Eastshore Quarter",Eastshore Quarter University Campus,Eastshore Quarter Residential Block,LED,playground,on,ok
streetlight,streetlight_000021,sl_000022,4,56.18376,10.209311,/d4/streetlight/sl_000022,"Castle Rd, Midtown Center",Midtown Center Riverside Park,Midtown Center Industrial Zone,HPS,road,off,defectiveLamp
streetlight,streetlight_000022,sl_000023,7,56.195682,10.218656,/d7/streetlight/sl_000023,"Market Rd, Greenfield Park",Greenfield Park Convention Center,Greenfield Park Financial Row,MH,sidewalk,low,columnIssue
streetlight,streetlight_000023,sl_000024,0,56.14145,10.207892,/d0/streetlight/sl_000024,"Park Rd, North Harbor",North Harbor Cathedral,North Harbor Waterfront,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000024,sl_000025,6,56.167846,10.160692,/d6/streetlight/sl_000025,"Valley Path, Old Town Core",Old Town Core Art Museum,Old Town Core Civic Center,LED,facade,on,ok
streetlight,streetlight_000025,sl_000026,6,56.164504,10.165911,/d6/streetlight/sl_000026,"Willow Way, Old Town Core",Old Town Core Historic Market,Old Town Core Financial Row,HPS,garden,off,defectiveLamp
streetlight,streetlight_000026,sl_000027,0,56.131593,10.190449,/d0/streetlight/sl_000027,"Church Ln, North Harbor",North Harbor Lighthouse,North Harbor Arts Quarter,MH,park,low,columnIssue
streetlight,streetlight_000027,sl_000028,2,56.193982,10.168713,/d2/streetlight/sl_000028,"Maple Blvd, Eastshore Quarter",Eastshore Quarter Cultural Center,Eastshore Quarter Arts Quarter,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000028,sl_000029,3,56.145681,10.193767,/d3/streetlight/sl_000029,"Gate St, South Hills",South Hills Art Museum,South Hills Industrial Zone,LED,playground,on,ok
streetlight,streetlight_000029,sl_000030,7,56.190975,10.22904,/d7/streetlight/sl_000030,"Willow Way, Greenfield Park",Greenfield Park Historic Market,Greenfield Park Industrial Zone,HPS,road,off,defectiveLamp
streetlight,streetlight_000030,sl_000031,2,56.189182,10.169885,/d2/streetlight/sl_000031,"Cherry Ln, Eastshore Quarter",Eastshore Quarter Riverside Park,Eastshore Quarter Financial Row,MH,sidewalk,low,columnIssue
streetlight,streetlight_000031,sl_000032,0,56.123319,10.198062,/d0/streetlight/sl_000032,"Elm St, North Harbor",North Harbor Town Square,North Harbor Uptown,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000032,sl_000033,3,56.146242,10.245861,/d3/streetlight/sl_000033,"Bridge Ln, South Hills",South Hills Main Station,South Hills Industrial Zone,LED,facade,on,ok
streetlight,streetlight_000033,sl_000034,2,56.188046,10.163697,/d2/streetlight/sl_000034,"Station Rd, Eastshore Quarter",Eastshore Quarter University Campus,Eastshore Quarter Transit Hub,HPS,garden,off,defectiveLamp
streetlight,streetlight_000034,sl_000035,4,56.122691,10.157,/d4/streetlight/sl_000035,"Oak Ave, Midtown Center",Midtown Center Science Center,Midtown Center Arts Quarter,MH,park,low,columnIssue
streetlight,streetlight_000035,sl_000036,4,56.141324,10.157867,/d4/streetlight/sl_000036,"Park Rd, Midtown Center",Midtown Center Town Square,Midtown Center Commercial Strip,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000036,sl_000037,6,56.148589,10.172069,/d6/streetlight/sl_000037,"River Rd, Old Town Core",Old Town Core Botanical Garden,Old Town Core Transit Hub,LED,playground,on,ok
streetlight,streetlight_000037,sl_000038,2,56.184788,10.154694,/d2/streetlight/sl_000038,"Willow Way, Eastshore Quarter",Eastshore Quarter Historic Market,Eastshore Quarter Residential Block,HPS,road,off,defectiveLamp
streetlight,streetlight_000038,sl_000039,2,56.189587,10.161791,/d2/streetlight/sl_000039,"Gate St, Eastshore Quarter",Eastshore Quarter Town Square,Eastshore Quarter Commercial Strip,MH,sidewalk,low,columnIssue
streetlight,streetlight_000039,sl_000040,0,56.121905,10.213563,/d0/streetlight/sl_000040,"Canal St, North Harbor",North Harbor Town Square,North Harbor Industrial Zone,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000040,sl_000041,3,56.141769,10.239318,/d3/streetlight/sl_000041,"Cedar Ln, South Hills",South Hills Cultural Center,South Hills Financial Row,LED,facade,on,ok
streetlight,streetlight_000041,sl_000042,7,56.182241,10.219029,/d7/streetlight/sl_000042,"Gate St, Greenfield Park",Greenfield Park Main Station,Greenfield Park Uptown,HPS,garden,off,defectiveLamp
streetlight,streetlight_000042,sl_000043,6,56.161603,10.172838,/d6/streetlight/sl_000043,"Valley Path, Old Town Core",Old Town Core Riverside Park,Old Town Core Residential Block,MH,park,low,columnIssue
streetlight,streetlight_000043,sl_000044,3,56.153621,10.189671,/d3/streetlight/sl_000044,"School St, South Hills",South Hills City Hall,South Hills Commercial Strip,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000044,sl_000045,3,56.163481,10.24453,/d3/streetlight/sl_000045,"Castle Rd, South Hills",South Hills Botanical Garden,South Hills Civic Center,LED,playground,on,ok
streetlight,streetlight_000045,sl_000046,3,56.149645,10.221224,/d3/streetlight/sl_000046,"Maple Blvd, South Hills",South Hills City Hall,South Hills Industrial Zone,HPS,road,off,defectiveLamp
streetlight,streetlight_000046,sl_000047,4,56.126333,10.168798,/d4/streetlight/sl_000047,"Elm St, Midtown Center",Midtown Center Cathedral,Midtown Center Waterfront,MH,sidewalk,low,columnIssue
streetlight,streetlight_000047,sl_000048,3,56.164945,10.223697,/d3/streetlight/sl_000048,"Castle Rd, South Hills",South Hills Art Museum,South Hills Waterfront,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000048,sl_000049,3,56.174157,10.190332,/d3/streetlight/sl_000049,"Birch Dr, South Hills",South Hills Cultural Center,South Hills Arts Quarter,LED,facade,on,ok
streetlight,streetlight_000049,sl_000050,3,56.196497,10.240656,/d3/streetlight/sl_000050,"Lake Dr, South Hills",South Hills Science Center,South Hills Downtown,HPS,garden,off,defectiveLamp
streetlight,streetlight_000050,sl_000051,4,56.175334,10.228739,/d4/streetlight/sl_000051,"Oak Ave, Midtown Center",Midtown Center City Library,Midtown Center Financial Row,MH,park,low,columnIssue
streetlight,streetlight_000051,sl_000052,3,56.147446,10.207468,/d3/streetlight/sl_000052,"Forest Ave, South Hills",South Hills City Library,South Hills Downtown,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000052,sl_000053,6,56.143183,10.163587,/d6/streetlight/sl_000053,"Ash Ct, Old Town Core",Old Town Core Cathedral,Old Town Core Industrial Zone,LED,playground,on,ok
streetlight,streetlight_000053,sl_000054,7,56.18691,10.205622,/d7/streetlight/sl_000054,"Ash Ct, Greenfield Park",Greenfield Park Clock Tower,Greenfield Park Financial Row,HPS,road,off,defectiveLamp
streetlight,streetlight_000054,sl_000055,2,56.182597,10.156549,/d2/streetlight/sl_000055,"Lake Dr, Eastshore Quarter",Eastshore Quarter Riverside Park,Eastshore Quarter Industrial Zone,MH,sidewalk,low,columnIssue
streetlight,streetlight_000055,sl_000056,0,56.127899,10.179226,/d0/streetlight/sl_000056,"Lake Dr, North Harbor",North Harbor Riverside Park,North Harbor Commercial Strip,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000056,sl_000057,7,56.182861,10.213975,/d7/streetlight/sl_000057,"Willow Way, Greenfield Park",Greenfield Park Town Square,Greenfield Park Arts Quarter,LED,facade,on,ok
streetlight,streetlight_000057,sl_000058,4,56.199355,10.24166,/d4/streetlight/sl_000058,"Market Rd, Midtown Center",Midtown Center Convention Center,Midtown Center Transit Hub,HPS,garden,off,defectiveLamp
streetlight,streetlight_000058,sl_000059,3,56.142147,10.2353,/d3/streetlight/sl_000059,"Ash Ct, South Hills",South Hills Riverside Park,South Hills Commercial Strip,MH,park,low,columnIssue
streetlight,streetlight_000059,sl_000060,6,56.169159,10.15103,/d6/streetlight/sl_000060,"Valley Path, Old Town Core",Old Town Core Art Museum,Old Town Core Arts Quarter,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000060,sl_000061,4,56.160167,10.2451,/d4/streetlight/sl_000061,"Oak Ave, Midtown Center",Midtown Center Shopping Mall,Midtown Center Waterfront,LED,playground,on,ok
streetlight,streetlight_000061,sl_000062,1,56.183325,10.234679,/d1/streetlight/sl_000062,"River Rd, Westside Heights",Westside Heights Shopping Mall,Westside Heights Waterfront,HPS,road,off,defectiveLamp
streetlight,streetlight_000062,sl_000063,3,56.146358,10.215486,/d3/streetlight/sl_000063,"Park Rd, South Hills",South Hills City Library,South Hills Financial Row,MH,sidewalk,low,columnIssue
streetlight,streetlight_000063,sl_000064,2,56.182472,10.154559,/d2/streetlight/sl_000064,"Station Rd, Eastshore Quarter",Eastshore Quarter Art Museum,Eastshore Quarter Residential Block,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000064,sl_000065,1,56.143779,10.240236,/d1/streetlight/sl_000065,"Forest Ave, Westside Heights",Westside Heights Historic Market,Westside Heights Arts Quarter,LED,facade,on,ok
streetlight,streetlight_000065,sl_000066,4,56.154297,10.204279,/d4/streetlight/sl_000066,"Canal St, Midtown Center",Midtown Center Lighthouse,Midtown Center Commercial Strip,HPS,garden,off,defectiveLamp
streetlight,streetlight_000066,sl_000067,4,56.164263,10.209696,/d4/streetlight/sl_000067,"Forest Ave, Midtown Center",Midtown Center University Campus,Midtown Center Commercial Strip,MH,park,low,columnIssue
streetlight,streetlight_000067,sl_000068,6,56.165569,10.17393,/d6/streetlight/sl_000068,"Mill Rd, Old Town Core",Old Town Core Lighthouse,Old Town Core Financial Row,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000068,sl_000069,7,56.196667,10.178862,/d7/streetlight/sl_000069,"Spruce St, Greenfield Park",Greenfield Park Convention Center,Greenfield Park Uptown,LED,playground,on,ok
streetlight,streetlight_000069,sl_000070,7,56.19751,10.22514,/d7/streetlight/sl_000070,"Market Rd, Greenfield Park",Greenfield Park Sports Arena,Greenfield Park Civic Center,HPS,road,off,defectiveLamp
streetlight,streetlight_000070,sl_000071,1,56.144808,10.24347,/d1/streetlight/sl_000071,"Cedar Ln, Westside Heights",Westside Heights Art Museum,Westside Heights Arts Quarter,MH,sidewalk,low,columnIssue
streetlight,streetlight_000071,sl_000072,7,56.179837,10.221724,/d7/streetlight/sl_000072,"Park Rd, Greenfield Park",Greenfield Park City Hall,Greenfield Park Financial Row,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000072,sl_000073,4,56.12324,10.168591,/d4/streetlight/sl_000073,"Market Rd, Midtown Center",Midtown Center University Campus,Midtown Center Commercial Strip,LED,facade,on,ok
streetlight,streetlight_000073,sl_000074,7,56.192852,10.200483,/d7/streetlight/sl_000074,"Lake Dr, Greenfield Park",Greenfield Park Lighthouse,Greenfield Park Downtown,HPS,garden,off,defectiveLamp
streetlight,streetlight_000074,sl_000075,0,56.142311,10.195613,/d0/streetlight/sl_000075,"Lake Dr, North Harbor",North Harbor Convention Center,North Harbor Financial Row,MH,park,low,columnIssue
streetlight,streetlight_000075,sl_000076,4,56.124125,10.157197,/d4/streetlight/sl_000076,"Tower Ln, Midtown Center",Midtown Center Main Station,Midtown Center Financial Row,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000076,sl_000077,6,56.15695,10.172629,/d6/streetlight/sl_000077,"Station Rd, Old Town Core",Old Town Core City Library,Old Town Core Financial Row,LED,playground,on,ok
streetlight,streetlight_000077,sl_000078,2,56.199242,10.150305,/d2/streetlight/sl_000078,"Summit Way, Eastshore Quarter",Eastshore Quarter Harbor Bridge,Eastshore Quarter Transit Hub,HPS,road,off,defectiveLamp
streetlight,streetlight_000078,sl_000079,7,56.181528,10.217469,/d7/streetlight/sl_000079,"Cherry Ln, Greenfield Park",Greenfield Park Cathedral,Greenfield Park Financial Row,MH,sidewalk,low,columnIssue
streetlight,streetlight_000079,sl_000080,7,56.192911,10.189064,/d7/streetlight/sl_000080,"Forest Ave, Greenfield Park",Greenfield Park Cultural Center,Greenfield Park Arts Quarter,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000080,sl_000081,6,56.168428,10.177191,/d6/streetlight/sl_000081,"Valley Path, Old Town Core",Old Town Core Science Center,Old Town Core Civic Center,LED,facade,on,ok
streetlight,streetlight_000081,sl_000082,6,56.152848,10.154039,/d6/streetlight/sl_000082,"Market Rd, Old Town Core",Old Town Core Sports Arena,Old Town Core Civic Center,HPS,garden,off,defectiveLamp
streetlight,streetlight_000082,sl_000083,4,56.145071,10.208767,/d4/streetlight/sl_000083,"Market Rd, Midtown Center",Midtown Center Harbor Bridge,Midtown Center Transit Hub,MH,park,low,columnIssue
streetlight,streetlight_000083,sl_000084,6,56.156796,10.171733,/d6/streetlight/sl_000084,"River Rd, Old Town Core",Old Town Core Shopping Mall,Old Town Core Uptown,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000084,sl_000085,3,56.130914,10.224887,/d3/streetlight/sl_000085,"Cherry Ln, South Hills",South Hills Harbor Bridge,South Hills Residential Block,LED,playground,on,ok
streetlight,streetlight_000085,sl_000086,4,56.123997,10.155868,/d4/streetlight/sl_000086,"Harbor Blvd, Midtown Center",Midtown Center University Campus,Midtown Center Uptown,HPS,road,off,defectiveLamp
streetlight,streetlight_000086,sl_000087,3,56.136877,10.241046,/d3/streetlight/sl_000087,"Oak Ave, South Hills",South Hills Shopping Mall,South Hills Financial Row,MH,sidewalk,low,columnIssue
streetlight,streetlight_000087,sl_000088,1,56.150191,10.233323,/d1/streetlight/sl_000088,"Ash Ct, Westside Heights",Westside Heights Shopping Mall,Westside Heights Transit Hub,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000088,sl_000089,2,56.190232,10.166719,/d2/streetlight/sl_000089,"Station Rd, Eastshore Quarter",Eastshore Quarter Historic Market,Eastshore Quarter Downtown,LED,facade,on,ok
streetlight,streetlight_000089,sl_000090,5,56.146246,10.214316,/d5/streetlight/sl_000090,"Summit Way, Lakeside District",Lakeside District Central Plaza,Lakeside District Residential Block,HPS,garden,off,defectiveLamp
streetlight,streetlight_000090,sl_000091,0,56.126198,10.202643,/d0/streetlight/sl_000091,"School St, North Harbor",North Harbor Botanical Garden,North Harbor Arts Quarter,MH,park,low,columnIssue
streetlight,streetlight_000091,sl_000092,6,56.170311,10.175286,/d6/streetlight/sl_000092,"Canal St, Old Town Core",Old Town Core Town Square,Old Town Core Residential Block,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000092,sl_000093,7,56.188762,10.20248,/d7/streetlight/sl_000093,"Lake Dr, Greenfield Park",Greenfield Park Lighthouse,Greenfield Park Downtown,LED,playground,on,ok
streetlight,streetlight_000093,sl_000094,6,56.153165,10.172132,/d6/streetlight/sl_000094,"Queen Ave, Old Town Core",Old Town Core Lighthouse,Old Town Core Industrial Zone,HPS,road,off,defectiveLamp
streetlight,streetlight_000094,sl_000095,6,56.154445,10.167012,/d6/streetlight/sl_000095,"Queen Ave, Old Town Core",Old Town Core City Hall,Old Town Core Residential Block,MH,sidewalk,low,columnIssue
streetlight,streetlight_000095,sl_000096,5,56.16549,10.188507,/d5/streetlight/sl_000096,"Ash Ct, Lakeside District",Lakeside District Central Plaza,Lakeside District Downtown,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000096,sl_000097,4,56.121347,10.154936,/d4/streetlight/sl_000097,"Spruce St, Midtown Center",Midtown Center Sports Arena,Midtown Center Financial Row,LED,facade,on,ok
streetlight,streetlight_000097,sl_000098,0,56.120894,10.181277,/d0/streetlight/sl_000098,"Mill Rd, North Harbor",North Harbor City Library,North Harbor Waterfront,HPS,garden,off,defectiveLamp
streetlight,streetlight_000098,sl_000099,3,56.127118,10.235433,/d3/streetlight/sl_000099,"School St, South Hills",South Hills Harbor Bridge,South Hills Uptown,MH,park,low,columnIssue
streetlight,streetlight_000099,sl_000100,1,56.158865,10.226913,/d1/streetlight/sl_000100,"Castle Rd, Westside Heights",Westside Heights Art Museum,Westside Heights Transit Hub,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000100,sl_000101,1,56.151484,10.245371,/d1/streetlight/sl_000101,"Market Rd, Westside Heights",Westside Heights Shopping Mall,Westside Heights Uptown,LED,playground,on,ok
streetlight,streetlight_000101,sl_000102,7,56.195438,10.213584,/d7/streetlight/sl_000102,"Queen Ave, Greenfield Park",Greenfield Park Sports Arena,Greenfield Park Arts Quarter,HPS,road,off,defectiveLamp
streetlight,streetlight_000102,sl_000103,1,56.177777,10.229968,/d1/streetlight/sl_000103,"Tower Ln, Westside Heights",Westside Heights Convention Center,Westside Heights Waterfront,MH,sidewalk,low,columnIssue
streetlight,streetlight_000103,sl_000104,6,56.173892,10.163836,/d6/streetlight/sl_000104,"Queen Ave, Old Town Core",Old Town Core Art Museum,Old Town Core Downtown,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000104,sl_000105,3,56.140231,10.248777,/d3/streetlight/sl_000105,"Pine Rd, South Hills",South Hills Riverside Park,South Hills Civic Center,LED,facade,on,ok
streetlight,streetlight_000105,sl_000106,5,56.173691,10.184684,/d5/streetlight/sl_000106,"Tower Ln, Lakeside District",Lakeside District Cultural Center,Lakeside District Arts Quarter,HPS,garden,off,defectiveLamp
streetlight,streetlight_000106,sl_000107,0,56.125895,10.192587,/d0/streetlight/sl_000107,"Spruce St, North Harbor",North Harbor Cathedral,North Harbor Residential Block,MH,park,low,columnIssue
streetlight,streetlight_000107,sl_000108,1,56.194599,10.236853,/d1/streetlight/sl_000108,"Park Rd, Westside Heights",Westside Heights Cathedral,Westside Heights Civic Center,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000108,sl_000109,1,56.153966,10.229056,/d1/streetlight/sl_000109,"Pine Rd, Westside Heights",Westside Heights University Campus,Westside Heights Civic Center,LED,playground,on,ok
streetlight,streetlight_000109,sl_000110,6,56.150559,10.164799,/d6/streetlight/sl_000110,"Ash Ct, Old Town Core",Old Town Core City Hall,Old Town Core Arts Quarter,HPS,road,off,defectiveLamp
streetlight,streetlight_000110,sl_000111,2,56.196367,10.157466,/d2/streetlight/sl_000111,"Mill Rd, Eastshore Quarter",Eastshore Quarter Convention Center,Eastshore Quarter Financial Row,MH,sidewalk,low,columnIssue
streetlight,streetlight_000111,sl_000112,0,56.133504,10.188129,/d0/streetlight/sl_000112,"Forest Ave, North Harbor",North Harbor Convention Center,North Harbor Waterfront,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000112,sl_000113,0,56.140247,10.215086,/d0/streetlight/sl_000113,"King Blvd, North Harbor",North Harbor City Library,North Harbor Arts Quarter,LED,facade,on,ok
streetlight,streetlight_000113,sl_000114,1,56.145522,10.237364,/d1/streetlight/sl_000114,"Harbor Blvd, Westside Heights",Westside Heights Science Center,Westside Heights Waterfront,HPS,garden,off,defectiveLamp
streetlight,streetlight_000114,sl_000115,0,56.121861,10.1782,/d0/streetlight/sl_000115,"Maple Blvd, North Harbor",North Harbor Historic Market,North Harbor Commercial Strip,MH,park,low,columnIssue
streetlight,streetlight_000115,sl_000116,7,56.185383,10.180028,/d7/streetlight/sl_000116,"Bridge Ln, Greenfield Park",Greenfield Park Harbor Bridge,Greenfield Park Civic Center,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000116,sl_000117,5,56.171037,10.201441,/d5/streetlight/sl_000117,"Valley Path, Lakeside District",Lakeside District City Hall,Lakeside District Residential Block,LED,playground,on,ok
streetlight,streetlight_000117,sl_000118,6,56.161174,10.161234,/d6/streetlight/sl_000118,"Gate St, Old Town Core",Old Town Core Botanical Garden,Old Town Core Arts Quarter,HPS,road,off,defectiveLamp
streetlight,streetlight_000118,sl_000119,1,56.159481,10.225452,/d1/streetlight/sl_000119,"Pine Rd, Westside Heights",Westside Heights Central Plaza,Westside Heights Downtown,MH,sidewalk,low,columnIssue
streetlight,streetlight_000119,sl_000120,0,56.123684,10.205226,/d0/streetlight/sl_000120,"King Blvd, North Harbor",North Harbor Convention Center,North Harbor Commercial Strip,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000120,sl_000121,0,56.133577,10.191266,/d0/streetlight/sl_000121,"Garden St, North Harbor",North Harbor Central Plaza,North Harbor Downtown,LED,facade,on,ok
streetlight,streetlight_000121,sl_000122,7,56.177878,10.203618,/d7/streetlight/sl_000122,"Pine Rd, Greenfield Park",Greenfield Park Convention Center,Greenfield Park Residential Block,HPS,garden,off,defectiveLamp
streetlight,streetlight_000122,sl_000123,6,56.160567,10.158246,/d6/streetlight/sl_000123,"Spruce St, Old Town Core",Old Town Core Central Plaza,Old Town Core Industrial Zone,MH,park,low,columnIssue
streetlight,streetlight_000123,sl_000124,6,56.154568,10.171156,/d6/streetlight/sl_000124,"Market Rd, Old Town Core",Old Town Core Convention Center,Old Town Core Residential Block,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000124,sl_000125,7,56.198508,10.237693,/d7/streetlight/sl_000125,"Elm St, Greenfield Park",Greenfield Park Waterfront Promenade,Greenfield Park Downtown,LED,playground,on,ok
streetlight,streetlight_000125,sl_000126,0,56.138784,10.177666,/d0/streetlight/sl_000126,"River Rd, North Harbor",North Harbor Clock Tower,North Harbor Commercial Strip,HPS,road,off,defectiveLamp
streetlight,streetlight_000126,sl_000127,1,56.18103,10.24959,/d1/streetlight/sl_000127,"Forest Ave, Westside Heights",Westside Heights Waterfront Promenade,Westside Heights Financial Row,MH,sidewalk,low,columnIssue
streetlight,streetlight_000127,sl_000128,1,56.150214,10.24675,/d1/streetlight/sl_000128,"Maple Blvd, Westside Heights",Westside Heights Sports Arena,Westside Heights Uptown,fluorescent,tunnel,bootingUp,brokenLantern
streetlight,streetlight_000128,sl_000129,0,56.127139,10.208314,/d0/streetlight/sl_000129,"Garden St, North Harbor",North Harbor Shopping Mall,North Harbor Downtown,LED,facade,on,ok
streetlight,streetlight_000129,sl_000130,6,56.148261,10.154832,/d6/streetlight/sl_000130,"Park Rd, Old Town Core",Old Town Core Riverside Park,Old Town Core Residential Block,HPS,garden,off,defectiveLamp
streetlight,streetlight_000130,sl_000131,2,56.193852,10.170843,/d2/streetlight/sl_000131,"River Rd, Eastshore Quarter",Eastshore Quarter Central Plaza,Eastshore Quarter Civic Center,MH,park,low,columnIssue
streetlight,streetlight_000131,sl_000132,1,56.194126,10.241905,/d1/streetlight/sl_000132,"Market Rd, Westside Heights",Westside Heights Harbor Bridge,Westside Heights Residential Block,fluorescent,pedestrianPath,bootingUp,brokenLantern
streetlight,streetlight_000132,sl_000133,4,56.133234,10.157438,/d4/streetlight/sl_000133,"Bridge Ln, Midtown Center",Midtown Center Historic Market,Midtown Center Industrial Zone,LED,playground,on,ok
streetlight,streetlight_000133,sl_000134,6,56.15795,10.150209,/d6/streetlight/sl_000134,"King Blvd, Old Town Core",Old Town Core Historic Market,Old Town Core Commercial Strip,HPS,road,off,defectiveLamp
streetlight,streetlight_000134,sl_000135,0,56.139727,10.220563,/d0/streetlight/sl_000135,"Bridge Ln, North Harbor",North Harbor University Campus,North Harbor Arts Quarter,MH,sidewalk,low,columnIssue
