qid	object_id	relevance
q0012	pol_000133	1
q0012	pol_000149	1
q0012	pol_000153	1
q0012	pol_000169	1
q0012	pol_000229	1
q0012	pol_000253	1
q0012	pol_000273	1
q0012	pol_000285	1
q0012	pol_000309	1
q0012	pol_000313	1
q0012	pol_000345	1
q0012	pol_000369	1
q0012	pol_000405	1
q0012	pol_000473	1
q0012	pol_000509	1
q0012	pol_000513	1
q0012	pol_000589	1
q0013	sl_000113	1
q0013	sl_000121	1
q0013	sl_000129	1
q0013	sl_000137	1
q0013	sl_000181	1
q0013	sl_000185	1
q0013	sl_000229	1
q0013	sl_000261	1
q0013	sl_000281	1
q0013	sl_000289	1
q0013	sl_000301	1
q0013	sl_000425	1
q0013	sl_000465	1
q0013	sl_000517	1
q0013	sl_000553	1
q0013	sl_000565	1
q0013	sl_000569	1
q0013	sl_000581	1
q0014	sl_000014	1
q0014	sl_000022	1
q0014	sl_000058	1
q0014	sl_000066	1
q0014	sl_000086	1
q0014	sl_000146	1
q0014	sl_000226	1
q0014	sl_000250	1
q0014	sl_000298	1
q0014	sl_000306	1
q0014	sl_000378	1
q0014	sl_000402	1
q0014	sl_000598	1
q0015	pol_000138	1
q0015	pol_000150	1
q0015	pol_000168	1
q0015	pol_000180	1
q0015	pol_000204	1
q0015	pol_000234	1
q0015	pol_000240	1
q0015	pol_000246	1
q0015	pol_000264	1
q0015	pol_000306	1
q0015	pol_000336	1
q0015	pol_000384	1
q0015	pol_000438	1
q0015	pol_000492	1
q0015	pol_000510	1
q0015	pol_000558	1
q0015	pol_000576	1
q0016	p_000244	1
q0016	p_000272	1
q0016	p_000376	1
q0017	traf_000022	1
q0017	traf_000109	1
q0017	traf_000130	1
q0017	traf_000190	1
q0017	traf_000295	1
q0017	traf_000319	1
q0017	traf_000346	1
q0017	traf_000361	1
q0017	traf_000373	1
q0017	traf_000400	1
q0017	traf_000433	1
q0017	traf_000469	1
q0017	traf_000493	1
q0017	traf_000514	1
q0017	traf_000532	1
q0017	traf_000544	1
q0017	traf_000580	1
q0017	traf_000586	1
q0017	traf_000592	1
q0018	sl_000582	1
q0019	pol_000059	1
q0019	pol_000125	1
q0019	pol_000149	1
q0019	pol_000239	1
q0019	pol_000431	1
q0019	pol_000473	1
q0019	pol_000509	1
q0020	p_000302	1
q0020	p_000538	1
q0021	sl_000010	1
q0021	sl_000098	1
q0021	sl_000126	1
q0021	sl_000182	1
q0021	sl_000246	1
q0021	sl_000278	1
q0021	sl_000322	1
q0021	sl_000362	1
q0021	sl_000386	1
q0021	sl_000418	1
q0021	sl_000426	1
q0021	sl_000434	1
q0021	sl_000482	1
q0021	sl_000534	1
q0021	sl_000558	1
q0021	sl_000594	1
q0022	pol_000028	1
q0022	pol_000100	1
q0022	pol_000118	1
q0022	pol_000154	1
q0022	pol_000199	1
q0022	pol_000235	1
q0022	pol_000280	1
q0022	pol_000325	1
q0022	pol_000361	1
q0022	pol_000367	1
q0022	pol_000370	1
q0022	pol_000397	1
q0022	pol_000412	1
q0022	pol_000415	1
q0022	pol_000433	1
q0022	pol_000436	1
q0022	pol_000451	1
q0022	pol_000457	1
q0023	p_000136	1
q0023	p_000328	1
q0023	p_000516	1
q0024	p_000078	1
q0024	p_000150	1
q0024	p_000168	1
q0024	p_000252	1
q0024	p_000270	1
q0024	p_000312	1
q0024	p_000348	1
q0024	p_000360	1
q0024	p_000390	1
q0024	p_000468	1
q0024	p_000570	1
q0024	p_000588	1
q0025	p_000041	1
q0025	p_000137	1
q0025	p_000167	1
q0025	p_000173	1
q0025	p_000179	1
q0025	p_000197	1
q0025	p_000227	1
q0025	p_000323	1
q0025	p_000365	1
q0025	p_000371	1
q0025	p_000401	1
q0025	p_000479	1
q0025	p_000539	1
q0025	p_000545	1
q0025	p_000563	1
q0026	p_000005	1
q0026	p_000029	1
q0026	p_000053	1
q0026	p_000149	1
q0026	p_000217	1
q0026	p_000269	1
q0026	p_000281	1
q0026	p_000301	1
q0026	p_000357	1
q0026	p_000361	1
q0026	p_000409	1
q0026	p_000413	1
q0026	p_000441	1
q0026	p_000445	1
q0026	p_000481	1
q0026	p_000501	1
q0026	p_000509	1
q0026	p_000557	1
q0026	p_000585	1
q0027	pol_000074	1
q0027	pol_000139	1
q0027	pol_000159	1
q0027	pol_000164	1
q0027	pol_000269	1
q0027	pol_000404	1
q0027	pol_000419	1
q0027	pol_000439	1
q0027	pol_000479	1
q0027	pol_000484	1
q0027	pol_000529	1
q0028	pol_000032	1
q0028	pol_000248	1
q0028	pol_000254	1
q0028	pol_000368	1
q0028	pol_000416	1
q0028	pol_000464	1
q0028	pol_000554	1
q0028	pol_000578	1
q0029	pol_000034	1
q0029	pol_000094	1
q0029	pol_000232	1
q0029	pol_000244	1
q0029	pol_000292	1
q0029	pol_000310	1
q0029	pol_000328	1
q0029	pol_000346	1
q0029	pol_000358	1
q0029	pol_000382	1
q0029	pol_000388	1
q0029	pol_000514	1
q0030	traf_000376	1
q0030	traf_000409	1
q0030	traf_000424	1
q0030	traf_000511	1
q0031	pol_000126	1
q0031	pol_000290	1
q0032	pol_000120	1
q0033	traf_000044	1
q0033	traf_000049	1
q0033	traf_000054	1
q0033	traf_000079	1
q0033	traf_000129	1
q0033	traf_000239	1
q0033	traf_000289	1
q0033	traf_000369	1
q0033	traf_000389	1
q0034	p_000076	1
q0034	p_000080	1
q0034	p_000084	1
q0034	p_000128	1
q0034	p_000164	1
q0034	p_000240	1
q0034	p_000248	1
q0034	p_000256	1
q0034	p_000260	1
q0034	p_000268	1
q0034	p_000300	1
q0034	p_000308	1
q0034	p_000332	1
q0034	p_000340	1
q0034	p_000444	1
q0034	p_000448	1
q0034	p_000460	1
q0034	p_000476	1
q0034	p_000552	1
q0034	p_000580	1
q0035	p_000022	1
q0035	p_000046	1
q0035	p_000052	1
q0035	p_000088	1
q0035	p_000226	1
q0035	p_000238	1
q0035	p_000280	1
q0035	p_000472	1
q0036	traf_000020	1
q0036	traf_000045	1
q0036	traf_000075	1
q0036	traf_000095	1
q0036	traf_000160	1
q0036	traf_000165	1
q0036	traf_000215	1
q0036	traf_000330	1
q0036	traf_000340	1
q0036	traf_000355	1
q0036	traf_000375	1
q0036	traf_000380	1
q0036	traf_000410	1
q0036	traf_000420	1
q0036	traf_000430	1
q0036	traf_000475	1
q0036	traf_000490	1
q0037	sl_000153	1
q0037	sl_000161	1
q0038	p_000004	1
q0038	p_000034	1
q0038	p_000148	1
q0038	p_000196	1
q0038	p_000208	1
q0038	p_000220	1
q0038	p_000370	1
q0038	p_000592	1
q0039	p_000022	1
q0039	p_000046	1
q0039	p_000052	1
q0039	p_000088	1
q0039	p_000226	1
q0039	p_000238	1
q0039	p_000280	1
q0039	p_000472	1
q0040	traf_000334	1
q0040	traf_000448	1
q0040	traf_000478	1
q0041	traf_000026	1
q0041	traf_000116	1
q0041	traf_000134	1
q0041	traf_000206	1
q0041	traf_000290	1
q0041	traf_000350	1
q0041	traf_000428	1
q0041	traf_000434	1
q0041	traf_000440	1
q0041	traf_000458	1
q0042	sl_000007	1
q0042	sl_000031	1
q0042	sl_000039	1
q0042	sl_000055	1
q0042	sl_000111	1
q0042	sl_000159	1
q0042	sl_000239	1
q0042	sl_000431	1
q0042	sl_000511	1
q0043	pol_000046	1
q0043	pol_000052	1
q0043	pol_000058	1
q0043	pol_000070	1
q0043	pol_000238	1
q0043	pol_000340	1
q0043	pol_000484	1
q0043	pol_000598	1
q0044	traf_000259	1
q0045	p_000032	1
q0045	p_000074	1
q0045	p_000140	1
q0045	p_000278	1
q0045	p_000290	1
q0045	p_000296	1
q0045	p_000356	1
q0045	p_000416	1
q0045	p_000428	1
q0045	p_000488	1
q0045	p_000512	1
q0045	p_000524	1
q0045	p_000584	1
q0046	traf_000074	1
q0046	traf_000144	1
q0046	traf_000154	1
q0046	traf_000164	1
q0046	traf_000184	1
q0046	traf_000189	1
q0046	traf_000254	1
q0046	traf_000284	1
q0046	traf_000299	1
q0046	traf_000309	1
q0046	traf_000329	1
q0046	traf_000504	1
q0046	traf_000524	1
q0047	pol_000093	1
q0047	pol_000125	1
q0047	pol_000133	1
q0047	pol_000149	1
q0047	pol_000153	1
q0047	pol_000169	1
q0047	pol_000229	1
q0047	pol_000253	1
q0047	pol_000273	1
q0047	pol_000285	1
q0047	pol_000309	1
q0047	pol_000313	1
q0047	pol_000345	1
q0047	pol_000369	1
q0047	pol_000405	1
q0047	pol_000473	1
q0047	pol_000509	1
q0047	pol_000513	1
q0047	pol_000589	1
q0048	p_000022	1
q0048	p_000046	1
q0048	p_000052	1
q0048	p_000088	1
q0048	p_000226	1
q0048	p_000238	1
q0048	p_000280	1
q0048	p_000472	1
q0049	p_000070	1
q0049	p_000142	1
q0049	p_000154	1
q0049	p_000172	1
q0049	p_000178	1
q0049	p_000184	1
q0049	p_000304	1
q0049	p_000310	1
q0049	p_000388	1
q0049	p_000418	1
q0049	p_000436	1
q0049	p_000496	1
q0049	p_000532	1
q0049	p_000550	1
q0049	p_000556	1
q0049	p_000598	1
q0050	p_000335	1
q0051	traf_000149	1
q0051	traf_000179	1
q0051	traf_000407	1
q0051	traf_000527	1
q0052	sl_000020	1
q0052	sl_000028	1
q0052	sl_000172	1
q0052	sl_000268	1
q0052	sl_000356	1
q0052	sl_000596	1
q0053	pol_000065	1
q0053	pol_000097	1
q0053	pol_000221	1
q0053	pol_000265	1
q0053	pol_000301	1
q0053	pol_000365	1
q0053	pol_000385	1
q0053	pol_000429	1
q0053	pol_000493	1
q0053	pol_000501	1
q0053	pol_000521	1
q0053	pol_000525	1
q0053	pol_000561	1
q0054	sl_000003	1
q0054	sl_000007	1
q0054	sl_000031	1
q0054	sl_000039	1
q0054	sl_000055	1
q0054	sl_000111	1
q0054	sl_000131	1
q0054	sl_000159	1
q0054	sl_000171	1
q0054	sl_000239	1
q0054	sl_000315	1
q0054	sl_000431	1
q0054	sl_000483	1
q0054	sl_000511	1
q0054	sl_000539	1
q0054	sl_000571	1
q0055	traf_000034	1
q0055	traf_000069	1
q0055	traf_000114	1
q0055	traf_000139	1
q0055	traf_000194	1
q0055	traf_000404	1
q0055	traf_000534	1
q0055	traf_000554	1
q0056	sl_000017	1
q0056	sl_000061	1
q0056	sl_000073	1
q0056	sl_000097	1
q0056	sl_000133	1
q0056	sl_000225	1
q0056	sl_000265	1
q0056	sl_000349	1
q0056	sl_000441	1
q0056	sl_000561	1
q0057	p_000475	1
q0058	pol_000074	1
q0058	pol_000139	1
q0058	pol_000159	1
q0058	pol_000164	1
q0058	pol_000269	1
q0058	pol_000404	1
q0058	pol_000419	1
q0058	pol_000439	1
q0058	pol_000479	1
q0058	pol_000484	1
q0058	pol_000529	1
q0059	sl_000033	1
q0059	sl_000041	1
q0059	sl_000049	1
q0059	sl_000105	1
q0059	sl_000177	1
q0059	sl_000473	1
q0059	sl_000585	1
q0060	sl_000010	1
q0060	sl_000098	1
q0060	sl_000126	1
q0060	sl_000182	1
q0060	sl_000246	1
q0060	sl_000278	1
q0060	sl_000322	1
q0060	sl_000362	1
q0060	sl_000386	1
q0060	sl_000418	1
q0060	sl_000426	1
q0060	sl_000434	1
q0060	sl_000482	1
q0060	sl_000534	1
q0060	sl_000558	1
q0060	sl_000594	1
q0061	p_000017	1
q0061	p_000021	1
q0061	p_000045	1
q0061	p_000233	1
q0061	p_000249	1
q0061	p_000549	1
q0061	p_000553	1
q0062	traf_000003	1
q0062	traf_000342	1
q0063	p_000041	1
q0063	p_000137	1
q0063	p_000167	1
q0063	p_000173	1
q0063	p_000179	1
q0063	p_000197	1
q0063	p_000227	1
q0063	p_000323	1
q0063	p_000365	1
q0063	p_000371	1
q0063	p_000401	1
q0063	p_000479	1
q0063	p_000539	1
q0063	p_000545	1
q0063	p_000563	1
q0064	p_000032	1
q0064	p_000074	1
q0064	p_000140	1
q0064	p_000278	1
q0064	p_000290	1
q0064	p_000296	1
q0064	p_000356	1
q0064	p_000416	1
q0064	p_000428	1
q0064	p_000488	1
q0064	p_000512	1
q0064	p_000524	1
q0064	p_000584	1
q0065	pol_000355	1
q0065	pol_000589	1
q0066	p_000055	1
q0066	p_000067	1
q0066	p_000103	1
q0066	p_000169	1
q0066	p_000199	1
q0066	p_000235	1
q0066	p_000289	1
q0066	p_000337	1
q0066	p_000385	1
q0066	p_000391	1
q0066	p_000397	1
q0066	p_000403	1
q0066	p_000433	1
q0066	p_000439	1
q0066	p_000469	1
q0066	p_000535	1
q0066	p_000565	1
q0066	p_000589	1
q0067	traf_000591	1
q0068	pol_000023	1
q0068	pol_000183	1
q0068	pol_000248	1
q0068	pol_000328	1
q0068	pol_000358	1
q0068	pol_000368	1
q0068	pol_000388	1
q0068	pol_000463	1
q0068	pol_000503	1
q0068	pol_000553	1
q0068	pol_000573	1
q0068	pol_000578	1
q0068	pol_000588	1
q0069	traf_000057	1
q0069	traf_000507	1
q0070	pol_000074	1
q0070	pol_000139	1
q0070	pol_000159	1
q0070	pol_000164	1
q0070	pol_000269	1
q0070	pol_000404	1
q0070	pol_000419	1
q0070	pol_000439	1
q0070	pol_000479	1
q0070	pol_000484	1
q0070	pol_000529	1
q0071	p_000004	1
q0071	p_000008	1
q0071	p_000024	1
q0071	p_000068	1
q0071	p_000096	1
q0071	p_000148	1
q0071	p_000196	1
q0071	p_000204	1
q0071	p_000208	1
q0071	p_000212	1
q0071	p_000220	1
q0071	p_000324	1
q0071	p_000420	1
q0071	p_000456	1
q0071	p_000528	1
q0071	p_000548	1
q0071	p_000572	1
q0071	p_000592	1
q0071	p_000596	1
q0072	p_000309	1
q0072	p_000333	1
q0072	p_000339	1
q0072	p_000345	1
q0072	p_000369	1
q0072	p_000453	1
q0072	p_000507	1
q0072	p_000579	1
q0073	traf_000100	1
q0073	traf_000154	1
q0073	traf_000184	1
q0073	traf_000196	1
q0073	traf_000220	1
q0073	traf_000250	1
q0073	traf_000268	1
q0073	traf_000280	1
q0073	traf_000286	1
q0073	traf_000316	1
q0073	traf_000496	1
q0073	traf_000520	1
q0073	traf_000598	1
q0074	pol_000337	1
q0074	pol_000442	1
q0075	p_000001	1
q0075	p_000013	1
q0075	p_000205	1
q0075	p_000247	1
q0075	p_000367	1
q0075	p_000373	1
q0075	p_000517	1
q0075	p_000577	1
q0076	traf_000043	1
q0076	traf_000143	1
q0076	traf_000148	1
q0076	traf_000188	1
q0076	traf_000223	1
q0076	traf_000238	1
q0076	traf_000263	1
q0076	traf_000308	1
q0076	traf_000353	1
q0076	traf_000363	1
q0076	traf_000438	1
q0076	traf_000443	1
q0076	traf_000463	1
q0076	traf_000508	1
q0076	traf_000513	1
q0076	traf_000523	1
q0076	traf_000553	1
q0076	traf_000568	1
q0076	traf_000593	1
q0077	sl_000043	1
q0077	sl_000095	1
q0077	sl_000123	1
q0077	sl_000143	1
q0077	sl_000187	1
q0077	sl_000199	1
q0077	sl_000235	1
q0077	sl_000271	1
q0077	sl_000295	1
q0077	sl_000435	1
q0077	sl_000455	1
q0077	sl_000475	1
q0077	sl_000503	1
q0077	sl_000587	1
q0078	p_000073	1
q0078	p_000097	1
q0078	p_000115	1
q0078	p_000277	1
q0078	p_000325	1
q0078	p_000457	1
q0078	p_000493	1
q0078	p_000511	1
q0078	p_000559	1
q0079	p_000076	1
q0079	p_000080	1
q0079	p_000084	1
q0079	p_000128	1
q0079	p_000164	1
q0079	p_000240	1
q0079	p_000248	1
q0079	p_000256	1
q0079	p_000260	1
q0079	p_000268	1
q0079	p_000300	1
q0079	p_000308	1
q0079	p_000332	1
q0079	p_000340	1
q0079	p_000444	1
q0079	p_000448	1
q0079	p_000460	1
q0079	p_000476	1
q0079	p_000552	1
q0079	p_000580	1
q0080	traf_000003	1
q0080	traf_000038	1
q0080	traf_000093	1
q0080	traf_000103	1
q0080	traf_000123	1
q0080	traf_000128	1
q0080	traf_000138	1
q0080	traf_000268	1
q0080	traf_000283	1
q0080	traf_000348	1
q0080	traf_000368	1
q0080	traf_000393	1
q0080	traf_000423	1
q0080	traf_000473	1
q0080	traf_000533	1
q0080	traf_000548	1
q0080	traf_000573	1
q0080	traf_000588	1
q0080	traf_000598	1
q0081	pol_000026	1
q0081	pol_000036	1
q0081	pol_000046	1
q0081	pol_000056	1
q0081	pol_000206	1
q0081	pol_000261	1
q0081	pol_000326	1
q0081	pol_000381	1
q0081	pol_000456	1
q0081	pol_000536	1
q0082	p_000058	1
q0082	p_000082	1
q0082	p_000136	1
q0082	p_000244	1
q0082	p_000286	1
q0082	p_000298	1
q0082	p_000316	1
q0082	p_000322	1
q0082	p_000328	1
q0082	p_000352	1
q0082	p_000376	1
q0082	p_000484	1
q0082	p_000508	1
q0082	p_000538	1
q0082	p_000544	1
q0083	sl_000117	1
q0083	sl_000165	1
q0083	sl_000173	1
q0083	sl_000189	1
q0083	sl_000197	1
q0083	sl_000221	1
q0083	sl_000237	1
q0083	sl_000365	1
q0083	sl_000381	1
q0083	sl_000397	1
q0083	sl_000453	1
q0083	sl_000469	1
q0083	sl_000525	1
q0083	sl_000533	1
q0084	traf_000006	1
q0084	traf_000018	1
q0084	traf_000021	1
q0084	traf_000033	1
q0084	traf_000036	1
q0084	traf_000060	1
q0084	traf_000069	1
q0084	traf_000072	1
q0084	traf_000114	1
q0084	traf_000141	1
q0084	traf_000315	1
q0084	traf_000336	1
q0084	traf_000408	1
q0084	traf_000486	1
q0084	traf_000495	1
q0084	traf_000534	1
q0084	traf_000546	1
q0084	traf_000555	1
q0084	traf_000558	1
q0085	p_000017	1
q0085	p_000233	1
q0085	p_000431	1
q0085	p_000503	1
q0085	p_000587	1
q0086	p_000009	1
q0086	p_000025	1
q0086	p_000033	1
q0086	p_000085	1
q0086	p_000105	1
q0086	p_000113	1
q0086	p_000129	1
q0086	p_000161	1
q0086	p_000165	1
q0086	p_000193	1
q0086	p_000237	1
q0086	p_000261	1
q0086	p_000329	1
q0086	p_000349	1
q0086	p_000429	1
q0086	p_000437	1
q0086	p_000461	1
q0087	sl_000024	1
q0087	sl_000032	1
q0087	sl_000040	1
q0087	sl_000056	1
q0087	sl_000112	1
q0087	sl_000120	1
q0087	sl_000144	1
q0087	sl_000156	1
q0087	sl_000160	1
q0087	sl_000188	1
q0087	sl_000312	1
q0087	sl_000320	1
q0087	sl_000360	1
q0087	sl_000436	1
q0087	sl_000496	1
q0087	sl_000500	1
q0087	sl_000556	1
q0087	sl_000564	1
q0088	pol_000004	1
q0088	pol_000166	1
q0089	sl_000251	1
q0089	sl_000259	1
q0089	sl_000275	1
q0089	sl_000291	1
q0089	sl_000323	1
q0089	sl_000395	1
q0089	sl_000411	1
q0089	sl_000427	1
q0089	sl_000451	1
q0089	sl_000523	1
q0089	sl_000547	1
q0090	p_000070	1
q0090	p_000142	1
q0090	p_000154	1
q0090	p_000172	1
q0090	p_000178	1
q0090	p_000184	1
q0090	p_000304	1
q0090	p_000310	1
q0090	p_000388	1
q0090	p_000418	1
q0090	p_000436	1
q0090	p_000496	1
q0090	p_000532	1
q0090	p_000550	1
q0090	p_000556	1
q0090	p_000598	1
q0091	pol_000048	1
q0091	pol_000096	1
q0091	pol_000108	1
q0091	pol_000132	1
q0091	pol_000144	1
q0091	pol_000192	1
q0091	pol_000270	1
q0091	pol_000288	1
q0091	pol_000348	1
q0091	pol_000372	1
q0091	pol_000444	1
q0091	pol_000498	1
q0091	pol_000540	1
q0092	sl_000493	1
q0093	traf_000037	1
q0093	traf_000042	1
q0093	traf_000047	1
q0093	traf_000067	1
q0093	traf_000077	1
q0093	traf_000147	1
q0093	traf_000172	1
q0093	traf_000247	1
q0093	traf_000292	1
q0093	traf_000402	1
q0093	traf_000412	1
q0093	traf_000417	1
q0093	traf_000427	1
q0093	traf_000437	1
q0093	traf_000512	1
q0093	traf_000547	1
q0093	traf_000562	1
q0094	sl_000020	1
q0094	sl_000028	1
q0094	sl_000064	1
q0094	sl_000172	1
q0094	sl_000268	1
q0094	sl_000356	1
q0094	sl_000408	1
q0094	sl_000512	1
q0094	sl_000528	1
q0094	sl_000596	1
q0095	traf_000003	1
q0095	traf_000057	1
q0095	traf_000081	1
q0095	traf_000087	1
q0095	traf_000093	1
q0095	traf_000123	1
q0095	traf_000189	1
q0095	traf_000207	1
q0095	traf_000297	1
q0095	traf_000309	1
q0095	traf_000345	1
q0095	traf_000393	1
q0095	traf_000423	1
q0095	traf_000507	1
q0095	traf_000537	1
q0095	traf_000561	1
q0095	traf_000573	1
q0096	traf_000176	1
q0096	traf_000470	1
q0096	traf_000476	1
q0097	traf_000020	1
q0097	traf_000045	1
q0097	traf_000075	1
q0097	traf_000095	1
q0097	traf_000160	1
q0097	traf_000165	1
q0097	traf_000215	1
q0097	traf_000330	1
q0097	traf_000340	1
q0097	traf_000355	1
q0097	traf_000375	1
q0097	traf_000380	1
q0097	traf_000410	1
q0097	traf_000420	1
q0097	traf_000430	1
q0097	traf_000475	1
q0097	traf_000490	1
q0098	traf_000051	1
q0098	traf_000076	1
q0098	traf_000086	1
q0098	traf_000171	1
q0098	traf_000426	1
q0098	traf_000451	1
q0099	pol_000084	1
q0099	pol_000112	1
q0099	pol_000120	1
q0099	pol_000216	1
q0099	pol_000252	1
q0099	pol_000256	1
q0099	pol_000352	1
q0099	pol_000396	1
q0099	pol_000424	1
q0099	pol_000432	1
q0099	pol_000440	1
q0099	pol_000504	1
q0099	pol_000560	1
q0100	p_000070	1
q0100	p_000074	1
q0100	p_000114	1
q0100	p_000126	1
q0100	p_000142	1
q0100	p_000154	1
q0100	p_000162	1
q0100	p_000178	1
q0100	p_000278	1
q0100	p_000290	1
q0100	p_000310	1
q0100	p_000330	1
q0100	p_000418	1
q0100	p_000486	1
q0100	p_000534	1
q0100	p_000550	1
q0100	p_000598	1
q0101	traf_000126	1
q0101	traf_000162	1
q0101	traf_000192	1
q0101	traf_000252	1
q0101	traf_000282	1
q0101	traf_000324	1
q0101	traf_000360	1
q0101	traf_000390	1
q0101	traf_000414	1
q0101	traf_000432	1
q0101	traf_000444	1
q0101	traf_000468	1
q0101	traf_000564	1
q0101	traf_000570	1
q0101	traf_000594	1
q0101	traf_000600	1
q0102	traf_000012	1
q0102	traf_000157	1
q0102	traf_000167	1
q0102	traf_000272	1
q0102	traf_000367	1
q0102	traf_000397	1
q0102	traf_000477	1
q0102	traf_000492	1
q0102	traf_000582	1
q0103	p_000341	1
q0104	traf_000100	1
q0104	traf_000154	1
q0104	traf_000184	1
q0104	traf_000196	1
q0104	traf_000220	1
q0104	traf_000250	1
q0104	traf_000268	1
q0104	traf_000280	1
q0104	traf_000286	1
q0104	traf_000316	1
q0104	traf_000496	1
q0104	traf_000520	1
q0104	traf_000598	1
q0105	traf_000027	1
q0105	traf_000039	1
q0105	traf_000099	1
q0105	traf_000105	1
q0105	traf_000111	1
q0105	traf_000135	1
q0105	traf_000201	1
q0105	traf_000237	1
q0105	traf_000291	1
q0105	traf_000351	1
q0105	traf_000357	1
q0105	traf_000363	1
q0105	traf_000429	1
q0105	traf_000465	1
q0105	traf_000501	1
q0105	traf_000513	1
q0105	traf_000549	1
q0105	traf_000591	1
q0105	traf_000597	1
q0106	sl_000427	1
q0107	traf_000016	1
q0107	traf_000034	1
q0107	traf_000040	1
q0107	traf_000046	1
q0107	traf_000052	1
q0107	traf_000166	1
q0107	traf_000226	1
q0107	traf_000298	1
q0108	pol_000011	1
q0108	pol_000035	1
q0108	pol_000065	1
q0108	pol_000221	1
q0108	pol_000365	1
q0108	pol_000383	1
q0108	pol_000395	1
q0108	pol_000521	1
q0109	p_000005	1
q0109	p_000029	1
q0109	p_000053	1
q0109	p_000149	1
q0109	p_000217	1
q0109	p_000269	1
q0109	p_000281	1
q0109	p_000301	1
q0109	p_000357	1
q0109	p_000361	1
q0109	p_000409	1
q0109	p_000413	1
q0109	p_000441	1
q0109	p_000445	1
q0109	p_000481	1
q0109	p_000501	1
q0109	p_000509	1
q0109	p_000557	1
q0109	p_000585	1
q0110	p_000009	1
q0110	p_000025	1
q0110	p_000033	1
q0110	p_000085	1
q0110	p_000105	1
q0110	p_000113	1
q0110	p_000129	1
q0110	p_000161	1
q0110	p_000165	1
q0110	p_000193	1
q0110	p_000237	1
q0110	p_000261	1
q0110	p_000329	1
q0110	p_000349	1
q0110	p_000429	1
q0110	p_000437	1
q0110	p_000461	1
q0111	pol_000009	1
q0111	pol_000021	1
q0111	pol_000027	1
q0111	pol_000033	1
q0111	pol_000099	1
q0111	pol_000189	1
q0111	pol_000267	1
q0111	pol_000333	1
q0111	pol_000351	1
q0111	pol_000447	1
q0111	pol_000519	1
q0111	pol_000549	1
q0111	pol_000591	1
q0111	pol_000597	1
q0112	traf_000085	1
q0112	traf_000110	1
q0112	traf_000155	1
q0112	traf_000170	1
q0112	traf_000180	1
q0112	traf_000200	1
q0112	traf_000210	1
q0112	traf_000255	1
q0112	traf_000305	1
q0112	traf_000320	1
q0112	traf_000405	1
q0112	traf_000455	1
q0112	traf_000510	1
q0112	traf_000535	1
q0112	traf_000540	1
q0113	sl_000034	1
q0113	sl_000038	1
q0113	sl_000078	1
q0113	sl_000186	1
q0113	sl_000202	1
q0113	sl_000210	1
q0113	sl_000314	1
